id,playerID,year,teamName,teamID,league,round,position,games,GS,InnOuts,PO,assists,errors,DP,TP,PB,SB,CS,createdAt,updatedAt
127,steinha01,1908,CHN,1908CHN,NL,WS,3B,5,5,135,4,11,0,0,0,,,,,
128,summeed01,1908,DET,1908DET,AL,WS,P,2,1,44,0,7,0,0,0,,,,,
129,thomair01,1908,DET,1908DET,AL,WS,C,1,1,27,9,2,0,0,0,0,,,,
130,tinkejo01,1908,CHN,1908CHN,NL,WS,SS,5,5,135,8,20,0,2,0,,,,,
131,wintege01,1908,DET,1908DET,AL,WS,P,1,0,3,0,0,0,0,0,,,,,
132,abstebi01,1909,PIT,1909PIT,NL,WS,1B,7,7,183,70,4,5,3,0,,,,,
133,adamsba01,1909,PIT,1909PIT,NL,WS,P,3,3,81,0,5,0,0,0,,,,,
134,bushdo01,1909,DET,1909DET,AL,WS,SS,7,7,183,9,18,5,3,0,,,,,
135,byrnebo01,1909,PIT,1909PIT,NL,WS,3B,6,7,156,11,15,0,2,0,,,,,
136,camniho01,1909,PIT,1909PIT,NL,WS,P,2,1,10,0,2,0,0,0,,,,,
137,clarkfr01,1909,PIT,1909PIT,NL,WS,LF,7,7,183,19,0,1,0,0,,,,,
138,cobbty01,1909,DET,1909DET,AL,WS,RF,7,7,183,8,0,1,0,0,,,,,
139,crawfsa01,1909,DET,1909DET,AL,WS,1B,1,0,3,0,1,0,0,0,,,,,
140,crawfsa01,1909,DET,1909DET,AL,WS,CF,7,7,180,17,0,2,0,0,,,,,
141,delahji01,1909,DET,1909DET,AL,WS,2B,7,7,183,10,17,2,1,0,,,,,
142,donovbi01,1909,DET,1909DET,AL,WS,P,2,2,36,0,5,1,0,0,,,,,
143,gibsoge01,1909,PIT,1909PIT,NL,WS,C,7,7,183,28,10,0,0,0,0,,,,
144,hyattha01,1909,PIT,1909PIT,NL,WS,CF,1,0,27,0,0,0,0,0,,,,,
145,jonesda01,1909,DET,1909DET,AL,WS,CF,1,0,3,0,0,0,0,0,,,,,
146,jonesda01,1909,DET,1909DET,AL,WS,LF,7,7,180,14,0,1,0,0,,,,,
147,jonesto01,1909,DET,1909DET,AL,WS,1B,7,7,180,73,1,1,1,0,,,,,
148,leachto01,1909,PIT,1909PIT,NL,WS,3B,1,0,27,4,2,0,0,0,,,,,
149,leachto01,1909,PIT,1909PIT,NL,WS,CF,6,7,156,16,1,0,0,0,,,,,
150,leifile01,1909,PIT,1909PIT,NL,WS,P,1,1,12,0,5,0,0,0,,,,,
151,maddoni01,1909,PIT,1909PIT,NL,WS,P,1,1,27,0,1,0,0,0,,,,,
152,mcintma01,1909,DET,1909DET,AL,WS,LF,1,0,3,0,0,0,0,0,,,,,
153,milledo02,1909,PIT,1909PIT,NL,WS,2B,7,7,183,17,14,1,1,0,,,,,
154,moriage02,1909,DET,1909DET,AL,WS,3B,7,7,162,7,15,0,2,0,,,,,
155,mullige01,1909,DET,1909DET,AL,WS,P,4,3,96,0,12,0,0,0,,,,,
156,olearch01,1909,DET,1909DET,AL,WS,3B,1,0,21,1,1,0,0,0,,,,,
157,phillde01,1909,PIT,1909PIT,NL,WS,P,2,0,18,1,2,2,0,0,,,,,
158,schmibo01,1909,DET,1909DET,AL,WS,C,6,5,138,31,10,3,3,0,0,,,,
159,stanaos01,1909,DET,1909DET,AL,WS,C,2,2,45,12,2,0,0,0,0,,,,
160,summeed01,1909,DET,1909DET,AL,WS,P,2,2,22,0,2,0,0,0,,,,,
161,wagneho01,1909,PIT,1909PIT,NL,WS,SS,7,7,183,13,25,3,1,0,,,,,
162,willeed01,1909,DET,1909DET,AL,WS,P,2,0,23,1,3,1,0,0,,,,,
163,willivi01,1909,PIT,1909PIT,NL,WS,P,2,1,35,1,2,0,0,0,,,,,
164,wilsoch01,1909,PIT,1909PIT,NL,WS,RF,7,7,183,3,1,0,0,0,,,,,
165,worksra01,1909,DET,1909DET,AL,WS,P,1,0,6,0,1,0,0,0,,,,,
166,archeji01,1910,CHN,1910CHN,NL,WS,1B,1,0,20,9,0,0,1,0,,,,,
167,archeji01,1910,CHN,1910CHN,NL,WS,C,2,2,57,18,4,0,1,0,0,,,,
168,bakerfr01,1910,PHA,1910PHA,AL,WS,3B,5,5,137,8,11,2,2,0,,,,,
169,barryja01,1910,PHA,1910PHA,AL,WS,SS,5,5,137,9,12,0,1,0,,,,,
170,bendech01,1910,PHA,1910PHA,AL,WS,P,2,2,56,1,2,0,1,0,,,,,
171,brownmo01,1910,CHN,1910CHN,NL,WS,P,3,2,54,0,10,1,0,0,,,,,
172,chancfr01,1910,CHN,1910CHN,NL,WS,1B,5,5,112,52,3,0,2,0,,,,,
173,coleki01,1910,CHN,1910CHN,NL,WS,P,1,1,24,1,3,0,1,0,,,,,
174,collied01,1910,PHA,1910PHA,AL,WS,2B,5,5,137,17,18,0,4,0,,,,,
175,coombja01,1910,PHA,1910PHA,AL,WS,P,3,3,81,1,3,2,0,0,,,,,
176,davisha01,1910,PHA,1910PHA,AL,WS,1B,5,5,137,44,2,3,6,0,,,,,
177,hartsto01,1910,PHA,1910PHA,AL,WS,LF,1,1,27,2,0,0,0,0,,,,,
178,hofmaso01,1910,CHN,1910CHN,NL,WS,CF,5,5,132,7,0,0,0,0,,,,,
179,klingjo01,1910,CHN,1910CHN,NL,WS,C,3,3,75,11,7,0,0,0,0,,,,
180,lappja01,1910,PHA,1910PHA,AL,WS,C,1,1,27,4,2,0,0,0,0,,,,
181,lordbr01,1910,PHA,1910PHA,AL,WS,CF,1,1,27,5,0,0,0,0,,,,,
182,lordbr01,1910,PHA,1910PHA,AL,WS,LF,4,4,110,6,0,0,0,0,,,,,
183,mcintha01,1910,CHN,1910CHN,NL,WS,P,2,0,16,0,1,1,0,0,,,,,
184,murphda02,1910,PHA,1910PHA,AL,WS,RF,5,5,137,6,2,0,2,0,,,,,
185,overaor01,1910,CHN,1910CHN,NL,WS,P,1,1,9,0,0,0,0,0,,,,,
186,pfiesja01,1910,CHN,1910CHN,NL,WS,P,1,0,20,0,1,0,0,0,,,,,
187,reulbed01,1910,CHN,1910CHN,NL,WS,P,1,1,6,0,1,0,0,0,,,,,
188,richile01,1910,CHN,1910CHN,NL,WS,P,1,0,3,0,0,0,0,0,,,,,
