id,year,league,team,teamID,parkID,spanFirst,spanLast,games,openings,attendance,createdAt,updatedAt
167,1884,NL,BSN,1884BSN,BOS01,1884-05-01,1884-09-13,56,0,0,,
168,1884,UA,BSU,1884BSU,BOS02,1884-04-30,1884-09-24,57,0,0,,
169,1884,NL,CHN,1884CHN,CHI03,1884-05-29,1884-10-11,57,0,0,,
170,1884,UA,CHU,1884CHU,BAL04,1884-09-17,1884-09-17,1,0,0,,
171,1884,UA,CHU,1884CHU,CHI05,1884-05-02,1884-08-01,35,0,0,,
172,1884,UA,CHU,1884CHU,PIT03,1884-08-25,1884-08-30,5,0,0,,
173,1884,NL,CL2,1884CL2,CLE02,1884-05-21,1884-10-11,56,0,0,,
174,1884,AA,CL5,1884CL5,COL01,1884-05-14,1884-09-22,55,0,0,,
175,1884,AA,CN2,1884CN2,CIN04,1884-05-01,1884-09-22,56,0,0,,
176,1884,AA,CN2,1884CN2,NYC05,1884-10-10,1884-10-10,1,0,0,,
177,1884,UA,CNU,1884CNU,CIN03,1884-04-17,1884-10-15,52,0,0,,
178,1884,NL,DTN,1884DTN,DET01,1884-06-02,1884-10-14,58,0,0,,
179,1884,AA,IN2,1884IN2,IND02,1884-05-14,1884-09-20,44,0,0,,
180,1884,AA,IN2,1884IN2,IND03,1884-05-18,1884-09-21,11,0,0,,
181,1884,UA,KCU,1884KCU,KAN01,1884-06-07,1884-10-19,36,0,0,,
182,1884,AA,LS2,1884LS2,LOU02,1884-05-01,1884-09-22,56,0,0,,
183,1884,UA,MLU,1884MLU,MIL02,1884-09-27,1884-10-12,12,0,0,,
184,1884,NL,NY1,1884NY1,NYC03,1884-05-01,1884-09-13,58,0,0,,
185,1884,AA,NY4,1884NY4,NYC03,1884-07-17,1884-10-15,22,0,0,,
186,1884,AA,NY4,1884NY4,NYC06,1884-05-13,1884-08-23,33,0,0,,
187,1884,AA,PH4,1884PH4,PHI01,1884-05-09,1884-10-15,54,0,0,,
188,1884,NL,PHI,1884PHI,PHI04,1884-05-01,1884-10-15,57,0,0,,
189,1884,UA,PHU,1884PHU,PHI05,1884-04-17,1884-08-07,35,0,0,,
190,1884,NL,PRO,1884PRO,PRO02,1884-05-01,1884-09-13,57,0,0,,
191,1884,AA,PT1,1884PT1,PIT04,1884-05-01,1884-10-15,56,0,0,,
192,1884,AA,RIC,1884RIC,RIC02,1884-08-05,1884-10-15,22,0,0,,
193,1884,AA,SL4,1884SL4,STL03,1884-05-01,1884-09-23,55,0,0,,
194,1884,UA,SLU,1884SLU,STL04,1884-04-20,1884-10-19,55,0,0,,
195,1884,AA,TL1,1884TL1,TOL01,1884-05-14,1884-09-24,54,0,0,,
