id,playerID,year,gameNum,gameID,team,teamID,league,playedInGame,startingPos, createdAt, updatedAt
208,waltebu01,1937,0,ALS193707070,PHI,1937PHI,NL,1,,,
209,whitebu01,1937,0,ALS193707070,NY1,1937NY1,NL,1,,,
210,gomezle01,1938,0,NLS193807060,NYA,1938NYA,AL,1,1,,
211,dickebi01,1938,0,NLS193807060,NYA,1938NYA,AL,1,2,,
212,foxxji01,1938,0,NLS193807060,BOS,1938BOS,AL,1,3,,
213,gehrich01,1938,0,NLS193807060,DET,1938DET,AL,1,4,,
214,lewisbu01,1938,0,NLS193807060,WS1,1938WS1,AL,1,5,,
215,cronijo01,1938,0,NLS193807060,BOS,1938BOS,AL,1,6,,
216,kreevmi01,1938,0,NLS193807060,CHA,1938CHA,AL,1,7,,
217,averiea01,1938,0,NLS193807060,CLE,1938CLE,AL,1,8,,
218,dimagjo01,1938,0,NLS193807060,NYA,1938NYA,AL,1,9,,
219,allenjo02,1938,0,NLS193807060,CLE,1938CLE,AL,1,,,
220,cramedo01,1938,0,NLS193807060,BOS,1938BOS,AL,1,,,
221,fellebo01,1938,0,NLS193807060,CLE,1938CLE,AL,0,,,
222,ferreri01,1938,0,NLS193807060,WS1,1938WS1,AL,0,,,
223,gehrilo01,1938,0,NLS193807060,NYA,1938NYA,AL,1,,,
224,greenha01,1938,0,NLS193807060,DET,1938DET,AL,0,,,
225,grovele01,1938,0,NLS193807060,BOS,1938BOS,AL,1,,,
226,johnsbo01,1938,0,NLS193807060,PHA,1938PHA,AL,1,,,
227,kenneve01,1938,0,NLS193807060,DET,1938DET,AL,0,,,
228,murphjo04,1938,0,NLS193807060,NYA,1938NYA,AL,0,,,
229,newsobo01,1938,0,NLS193807060,SLA,1938SLA,AL,0,,,
230,rolfere01,1938,0,NLS193807060,NYA,1938NYA,AL,0,,,
231,ruffire01,1938,0,NLS193807060,NYA,1938NYA,AL,0,,,
232,travice01,1938,0,NLS193807060,WS1,1938WS1,AL,0,,,
233,yorkru01,1938,0,NLS193807060,DET,1938DET,AL,1,,,
234,vandejo01,1938,0,NLS193807060,CIN,1938CIN,NL,1,1,,
235,lombaer01,1938,0,NLS193807060,CIN,1938CIN,NL,1,2,,
236,mccorfr01,1938,0,NLS193807060,CIN,1938CIN,NL,1,3,,
237,hermabi01,1938,0,NLS193807060,CHN,1938CHN,NL,1,4,,
238,hackst01,1938,0,NLS193807060,CHN,1938CHN,NL,1,5,,
239,durocle01,1938,0,NLS193807060,BRO,1938BRO,NL,1,6,,
240,medwijo01,1938,0,NLS193807060,SLN,1938SLN,NL,1,7,,
241,ottme01,1938,0,NLS193807060,NY1,1938NY1,NL,1,8,,
242,goodmiv01,1938,0,NLS193807060,CIN,1938CIN,NL,1,9,,
243,brownma01,1938,0,NLS193807060,PIT,1938PIT,NL,1,,,
244,cuccito01,1938,0,NLS193807060,BSN,1938BSN,NL,0,,,
245,danniha01,1938,0,NLS193807060,NY1,1938NY1,NL,0,,,
246,derripa01,1938,0,NLS193807060,CIN,1938CIN,NL,0,,,
247,hartnga01,1938,0,NLS193807060,CHN,1938CHN,NL,0,,,
248,hubbeca01,1938,0,NLS193807060,NY1,1938NY1,NL,0,,,
249,lavagco01,1938,0,NLS193807060,BRO,1938BRO,NL,0,,,
250,leebi02,1938,0,NLS193807060,CHN,1938CHN,NL,1,,,
251,leibeha01,1938,0,NLS193807060,NY1,1938NY1,NL,1,,,
252,martihe01,1938,0,NLS193807060,PHI,1938PHI,NL,0,,,
253,moorejo02,1938,0,NLS193807060,NY1,1938NY1,NL,0,,,
254,phelpba01,1938,0,NLS193807060,BRO,1938BRO,NL,0,,,
255,turneji01,1938,0,NLS193807060,BSN,1938BSN,NL,0,,,
256,vaughar01,1938,0,NLS193807060,PIT,1938PIT,NL,0,,,
257,wanerll01,1938,0,NLS193807060,PIT,1938PIT,NL,0,,,
258,ruffire01,1939,0,ALS193907110,NYA,1939NYA,AL,1,1,,
259,dickebi01,1939,0,ALS193907110,NYA,1939NYA,AL,1,2,,
260,greenha01,1939,0,ALS193907110,DET,1939DET,AL,1,3,,
261,gordojo01,1939,0,ALS193907110,NYA,1939NYA,AL,1,4,,
262,rolfere01,1939,0,ALS193907110,NYA,1939NYA,AL,1,5,,
263,cronijo01,1939,0,ALS193907110,BOS,1939BOS,AL,1,6,,
264,selkige01,1939,0,ALS193907110,NYA,1939NYA,AL,1,7,,
265,dimagjo01,1939,0,ALS193907110,NYA,1939NYA,AL,1,8,,
266,cramedo01,1939,0,ALS193907110,BOS,1939BOS,AL,1,9,,
267,applilu01,1939,0,ALS193907110,CHA,1939CHA,AL,0,,,
268,bridgto01,1939,0,ALS193907110,DET,1939DET,AL,1,,,
269,casege01,1939,0,ALS193907110,WS1,1939WS1,AL,0,,,
270,crosefr01,1939,0,ALS193907110,NYA,1939NYA,AL,0,,,
271,fellebo01,1939,0,ALS193907110,CLE,1939CLE,AL,1,,,
272,foxxji01,1939,0,ALS193907110,BOS,1939BOS,AL,0,,,
273,gehrilo01,1939,0,ALS193907110,NYA,1939NYA,AL,0,,,
274,gomezle01,1939,0,ALS193907110,NYA,1939NYA,AL,0,,,
275,grovele01,1939,0,ALS193907110,BOS,1939BOS,AL,0,,,
276,hayesfr01,1939,0,ALS193907110,PHA,1939PHA,AL,0,,,
277,hemslro01,1939,0,ALS193907110,CLE,1939CLE,AL,0,,,
278,hoagmy01,1939,0,ALS193907110,SLA,1939SLA,AL,1,,,
279,johnsbo01,1939,0,ALS193907110,PHA,1939PHA,AL,0,,,
280,lyonste01,1939,0,ALS193907110,CHA,1939CHA,AL,0,,,
281,mcquige02,1939,0,ALS193907110,SLA,1939SLA,AL,0,,,
282,murphjo04,1939,0,ALS193907110,NYA,1939NYA,AL,0,,,
283,newsobo01,1939,0,ALS193907110,DET,1939DET,AL,0,,,
284,derripa01,1939,0,ALS193907110,CIN,1939CIN,NL,1,1,,
285,lombaer01,1939,0,ALS193907110,CIN,1939CIN,NL,1,2,,
286,mccorfr01,1939,0,ALS193907110,CIN,1939CIN,NL,1,3,,
287,freylo01,1939,0,ALS193907110,CIN,1939CIN,NL,1,4,,
288,hackst01,1939,0,ALS193907110,CHN,1939CHN,NL,1,5,,
289,vaughar01,1939,0,ALS193907110,PIT,1939PIT,NL,1,6,,
290,medwijo01,1939,0,ALS193907110,SLN,1939SLN,NL,1,7,,
291,ottme01,1939,0,ALS193907110,NY1,1939NY1,NL,1,8,,
292,goodmiv01,1939,0,ALS193907110,CIN,1939CIN,NL,1,9,,
293,arnovmo01,1939,0,ALS193907110,PHI,1939PHI,NL,0,,,
294,camildo01,1939,0,ALS193907110,BRO,1939BRO,NL,1,,,
295,danniha01,1939,0,ALS193907110,NY1,1939NY1,NL,0,,,
296,daviscu01,1939,0,ALS193907110,SLN,1939SLN,NL,0,,,
297,fettelo01,1939,0,ALS193907110,BSN,1939BSN,NL,1,,,
298,hermabi01,1939,0,ALS193907110,CHN,1939CHN,NL,1,,,
299,jurgebi01,1939,0,ALS193907110,NY1,1939NY1,NL,0,,,
300,lavagco01,1939,0,ALS193907110,BRO,1939BRO,NL,0,,,
301,leebi02,1939,0,ALS193907110,CHN,1939CHN,NL,1,,,
302,mizejo01,1939,0,ALS193907110,SLN,1939SLN,NL,1,,,
303,moorete01,1939,0,ALS193907110,SLN,1939SLN,NL,1,,,
304,phelpba01,1939,0,ALS193907110,BRO,1939BRO,NL,1,,,
305,vandejo01,1939,0,ALS193907110,CIN,1939CIN,NL,0,,,
306,waltebu01,1939,0,ALS193907110,CIN,1939CIN,NL,0,,,
307,warnelo01,1939,0,ALS193907110,SLN,1939SLN,NL,0,,,
308,wyattwh01,1939,0,ALS193907110,BRO,1939BRO,NL,0,,,
309,ruffire01,1940,0,NLS194007090,NYA,1940NYA,AL,1,1,,
310,dickebi01,1940,0,NLS194007090,NYA,1940NYA,AL,1,2,,
311,foxxji01,1940,0,NLS194007090,BOS,1940BOS,AL,1,3,,
312,gordojo01,1940,0,NLS194007090,NYA,1940NYA,AL,1,4,,
313,travice01,1940,0,NLS194007090,WS1,1940WS1,AL,1,5,,
314,applilu01,1940,0,NLS194007090,CHA,1940CHA,AL,1,6,,
315,willite01,1940,0,NLS194007090,BOS,1940BOS,AL,1,7,,
316,dimagjo01,1940,0,NLS194007090,NYA,1940NYA,AL,1,8,,
317,kellech01,1940,0,NLS194007090,NYA,1940NYA,AL,1,9,,
318,boudrlo01,1940,0,NLS194007090,CLE,1940CLE,AL,1,,,
319,bridgto01,1940,0,NLS194007090,DET,1940DET,AL,0,,,
320,cramedo01,1940,0,NLS194007090,BOS,1940BOS,AL,0,,,
321,fellebo01,1940,0,NLS194007090,CLE,1940CLE,AL,1,,,
322,finnelo01,1940,0,NLS194007090,BOS,1940BOS,AL,1,,,
323,greenha01,1940,0,NLS194007090,DET,1940DET,AL,1,,,
324,hayesfr01,1940,0,NLS194007090,PHA,1940PHA,AL,1,,,
325,hemslro01,1940,0,NLS194007090,CLE,1940CLE,AL,1,,,
326,johnsbo01,1940,0,NLS194007090,PHA,1940PHA,AL,0,,,
327,keltnke01,1940,0,NLS194007090,CLE,1940CLE,AL,1,,,
328,leonadu02,1940,0,NLS194007090,WS1,1940WS1,AL,0,,,
329,mackra01,1940,0,NLS194007090,CLE,1940CLE,AL,1,,,
330,mcquige02,1940,0,NLS194007090,SLA,1940SLA,AL,0,,,
331,milnaal01,1940,0,NLS194007090,CLE,1940CLE,AL,0,,,
332,newsobo01,1940,0,NLS194007090,DET,1940DET,AL,1,,,
333,pearsmo01,1940,0,NLS194007090,NYA,1940NYA,AL,0,,,
334,rolfere01,1940,0,NLS194007090,NYA,1940NYA,AL,0,,,
335,derripa01,1940,0,NLS194007090,CIN,1940CIN,NL,1,1,,
336,lombaer01,1940,0,NLS194007090,CIN,1940CIN,NL,1,2,,
337,mizejo01,1940,0,NLS194007090,SLN,1940SLN,NL,1,3,,
338,hermabi01,1940,0,NLS194007090,CHN,1940CHN,NL,1,4,,
339,lavagco01,1940,0,NLS194007090,BRO,1940BRO,NL,1,5,,
340,vaughar01,1940,0,NLS194007090,PIT,1940PIT,NL,1,6,,
341,medwijo01,1940,0,NLS194007090,BRO,1940BRO,NL,1,7,,
342,moorete01,1940,0,NLS194007090,SLN,1940SLN,NL,1,8,,
343,westma02,1940,0,NLS194007090,BSN,1940BSN,NL,1,9,,
344,coscape01,1940,0,NLS194007090,BRO,1940BRO,NL,1,,,
345,danniha01,1940,0,NLS194007090,NY1,1940NY1,NL,1,,,
346,durocle01,1940,0,NLS194007090,BRO,1940BRO,NL,0,,,
347,frencla01,1940,0,NLS194007090,CHN,1940CHN,NL,1,,,
348,higbeki01,1940,0,NLS194007090,PHI,1940PHI,NL,0,,,
349,hubbeca01,1940,0,NLS194007090,NY1,1940NY1,NL,1,,,
350,jurgebi01,1940,0,NLS194007090,NY1,1940NY1,NL,0,,,
351,leibeha01,1940,0,NLS194007090,CHN,1940CHN,NL,0,,,
352,maypi01,1940,0,NLS194007090,PHI,1940PHI,NL,1,,,
353,mccorfr01,1940,0,NLS194007090,CIN,1940CIN,NL,1,,,
354,milleed03,1940,0,NLS194007090,BSN,1940BSN,NL,1,,,
355,moorejo02,1940,0,NLS194007090,NY1,1940NY1,NL,1,,,
356,mulcahu01,1940,0,NLS194007090,PHI,1940PHI,NL,0,,,
357,nichobi01,1940,0,NLS194007090,CHN,1940CHN,NL,1,,,
358,ottme01,1940,0,NLS194007090,NY1,1940NY1,NL,1,,,
359,phelpba01,1940,0,NLS194007090,BRO,1940BRO,NL,1,,,
360,waltebu01,1940,0,NLS194007090,CIN,1940CIN,NL,1,,,
361,wyattwh01,1940,0,NLS194007090,BRO,1940BRO,NL,1,,,
