id,award,year,league,playerID,pointsWon,pointsMax,votesFirst,createdAt,updatedAt
452,Cy Young,1996,AL,pettian01,104,140,11,,
453,Cy Young,1996,AL,riverma01,18,140,1,,
454,Cy Young,1996,NL,benesan01,9,140,0,,
455,Cy Young,1996,NL,brownke01,88,140,2,,
456,Cy Young,1996,NL,fasseje01,1,140,0,,
457,Cy Young,1996,NL,hoffmtr01,4,140,0,,
458,Cy Young,1996,NL,leiteal01,1,140,0,,
459,Cy Young,1996,NL,maddugr01,4,140,0,,
460,Cy Young,1996,NL,neaglde01,2,140,0,,
461,Cy Young,1996,NL,nomohi01,5,140,0,,
462,Cy Young,1996,NL,reynosh01,1,140,0,,
463,Cy Young,1996,NL,smoltjo01,136,140,26,,
464,Cy Young,1996,NL,worreto01,4,140,0,,
465,Cy Young,1997,AL,clemero02,134,140,25,,
466,Cy Young,1997,AL,johnsra05,77,140,2,,
467,Cy Young,1997,AL,mussimi01,1,140,0,,
468,Cy Young,1997,AL,myersra01,14,140,1,,
469,Cy Young,1997,AL,pettian01,9,140,0,,
470,Cy Young,1997,AL,radkebr01,17,140,0,,
471,Cy Young,1997,NL,kileda01,7,140,0,,
472,Cy Young,1997,NL,maddugr01,75,140,3,,
473,Cy Young,1997,NL,martipe02,134,140,25,,
474,Cy Young,1997,NL,neaglde01,24,140,0,,
475,Cy Young,1997,NL,schilcu01,12,140,0,,
476,Cy Young,1998,AL,clemero02,140,140,28,,
477,Cy Young,1998,AL,coneda01,16,140,0,,
478,Cy Young,1998,AL,martipe02,65,140,0,,
479,Cy Young,1998,AL,wellsda01,31,140,0,,
480,Cy Young,1998,NL,brownke01,76,160,8,,
481,Cy Young,1998,NL,glavito02,99,160,11,,
482,Cy Young,1998,NL,hoffmtr01,88,160,13,,
483,Cy Young,1998,NL,johnsra05,2,160,0,,
484,Cy Young,1998,NL,leiteal01,3,160,0,,
485,Cy Young,1998,NL,maddugr01,10,160,0,,
486,Cy Young,1998,NL,smoltjo01,10,160,0,,
487,Cy Young,1999,AL,colonba01,14,140,0,,
488,Cy Young,1999,AL,coneda01,3,140,0,,
489,Cy Young,1999,AL,foulkke01,1,140,0,,
490,Cy Young,1999,AL,garcifr02,2,140,0,,
491,Cy Young,1999,AL,hernaro01,1,140,0,,
492,Cy Young,1999,AL,martipe02,140,140,28,,
493,Cy Young,1999,AL,moyerja01,3,140,0,,
494,Cy Young,1999,AL,mussimi01,54,140,0,,
495,Cy Young,1999,AL,riverma01,27,140,0,,
496,Cy Young,1999,AL,seleaa01,4,140,0,,
497,Cy Young,1999,AL,wettejo01,3,140,0,,
498,Cy Young,1999,NL,brownke01,1,160,0,,
