id,playerID,year,round,team,teamID,league,wins,loses,games,GS,CG,SHO,SV,IPouts,hits,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,runs,SH,SF,GIDP,createdAt,updatedAt
74,donovbi01,1907,WS,DET,1907DET,AL,0,1,2,2,2,0,0,63,17,4,0,5,16,0.236,1.71,0,0,3,0,86,0,9,6,0,0,,
75,killied01,1907,WS,DET,1907DET,AL,0,0,1,0,0,0,0,12,3,1,0,1,1,0.2,2.25,0,0,0,0,16,1,1,0,0,0,,
76,mullige01,1907,WS,DET,1907DET,AL,0,2,2,2,2,0,0,51,15,4,0,7,8,0.246,2.12,0,0,1,0,71,0,5,2,0,0,,
77,overaor01,1907,WS,CHN,1907CHN,NL,1,0,2,2,1,0,0,54,14,2,0,4,11,0.215,1,0,0,0,0,72,0,4,3,0,0,,
78,pfiesja01,1907,WS,CHN,1907CHN,NL,1,0,1,1,1,0,0,27,10,1,0,1,3,0.312,1,0,0,1,0,34,0,1,0,0,1,,
79,reulbed01,1907,WS,CHN,1907CHN,NL,1,0,2,1,1,0,0,36,6,1,0,3,4,0.143,0.75,0,0,0,0,45,1,1,0,0,1,,
80,sieveed01,1907,WS,DET,1907DET,AL,0,1,1,1,0,0,0,12,7,2,0,0,1,0.389,4.5,0,0,0,0,19,0,4,1,0,0,,
81,brownmo01,1908,WS,CHN,1908CHN,NL,2,0,2,1,1,1,0,33,6,0,0,1,5,0.167,0,0,0,1,0,40,1,1,2,0,1,,
82,donovbi01,1908,WS,DET,1908DET,AL,0,2,2,2,2,0,0,51,17,8,1,4,10,0.283,4.24,0,1,0,0,67,0,8,3,0,1,,
83,killied01,1908,WS,DET,1908DET,AL,0,0,1,1,0,0,0,7,5,3,0,3,1,0.417,11.57,0,0,0,0,15,0,4,0,0,0,,
84,mullige01,1908,WS,DET,1908DET,AL,1,0,1,1,1,0,0,27,7,0,0,1,8,0.219,0,0,0,0,0,33,0,3,0,0,2,,
85,overaor01,1908,WS,CHN,1908CHN,NL,2,0,3,2,2,1,0,55,7,2,0,7,15,0.117,0.98,0,1,1,0,69,0,2,1,0,1,,
86,pfiesja01,1908,WS,CHN,1908CHN,NL,0,1,1,1,0,0,0,24,11,7,0,3,1,0.344,7.88,0,0,0,0,37,0,8,1,1,0,,
87,reulbed01,1908,WS,CHN,1908CHN,NL,0,0,2,1,0,0,0,23,9,4,0,1,5,0.3,4.7,0,0,0,0,31,1,4,0,0,0,,
88,summeed01,1908,WS,DET,1908DET,AL,0,2,2,1,0,0,0,44,18,7,0,4,7,0.321,4.3,0,0,0,0,66,1,8,5,1,0,,
89,wintege01,1908,WS,DET,1908DET,AL,0,0,1,0,0,0,0,3,1,0,0,1,0,0.25,0,0,0,0,0,5,1,1,0,0,0,,
90,adamsba01,1909,WS,PIT,1909PIT,NL,3,0,3,3,3,1,0,81,18,4,2,6,11,0.186,1.33,0,0,1,0,106,0,5,2,0,0,,
91,camniho01,1909,WS,PIT,1909PIT,NL,0,1,2,1,0,0,0,10,8,5,0,2,2,0.471,13.5,0,0,0,0,20,0,6,1,0,0,,
92,donovbi01,1909,WS,DET,1909DET,AL,1,1,2,2,1,0,0,36,7,4,0,8,7,0.184,3,0,0,1,0,51,0,4,3,1,0,,
93,leifile01,1909,WS,PIT,1909PIT,NL,0,1,1,1,0,0,0,12,7,5,0,1,0,0.368,11.25,0,0,2,0,22,0,5,0,0,1,,
94,maddoni01,1909,WS,PIT,1909PIT,NL,1,0,1,1,1,0,0,27,11,1,0,2,4,0.282,1,0,0,0,0,41,0,6,0,0,0,,
95,mullige01,1909,WS,DET,1909DET,AL,2,1,4,3,3,1,0,96,23,8,1,8,20,0.197,2.25,0,0,2,0,132,1,14,4,1,0,,
96,phillde01,1909,WS,PIT,1909PIT,NL,0,0,2,0,0,0,0,18,2,0,0,1,2,0.1,0,0,0,0,0,23,2,0,2,0,0,,
97,summeed01,1909,WS,DET,1909DET,AL,0,2,2,2,0,0,0,22,13,7,1,4,4,0.382,8.59,0,2,1,0,41,0,13,2,0,0,,
98,willeed01,1909,WS,DET,1909DET,AL,0,0,2,0,0,0,0,23,3,0,0,0,1,0.12,0,0,0,2,0,27,1,1,0,0,0,,
99,willivi01,1909,WS,PIT,1909PIT,NL,0,1,2,1,0,0,0,35,10,6,0,8,3,0.25,4.63,0,0,1,0,49,1,6,0,0,0,,
100,worksra01,1909,WS,DET,1909DET,AL,0,0,1,0,0,0,0,6,4,2,0,0,2,0.444,9,0,0,0,0,10,1,2,0,1,0,,
101,bendech01,1910,WS,PHA,1910PHA,AL,1,1,2,2,2,0,0,56,13,4,0,4,14,0.21,1.93,0,0,0,0,67,0,5,1,0,1,,
102,brownmo01,1910,WS,CHN,1910CHN,NL,1,2,3,2,1,0,0,54,23,11,0,7,14,0.299,5.5,0,1,0,0,86,1,16,2,0,1,,
103,coleki01,1910,WS,CHN,1910CHN,NL,0,0,1,1,0,0,0,24,10,3,0,3,5,0.345,3.38,0,0,1,0,35,0,3,2,0,1,,
104,coombja01,1910,WS,PHA,1910PHA,AL,3,0,3,3,3,0,0,81,24,10,0,14,17,0.25,3.33,0,1,0,0,116,0,10,4,2,1,,
105,mcintha01,1910,WS,CHN,1910CHN,NL,0,1,2,0,0,0,0,16,4,4,1,3,3,0.211,6.75,0,0,1,0,23,1,5,0,0,0,,
106,overaor01,1910,WS,CHN,1910CHN,NL,0,1,1,1,0,0,0,9,6,3,0,1,1,0.545,9,0,0,0,0,14,0,3,2,0,0,,
107,pfiesja01,1910,WS,CHN,1910CHN,NL,0,0,1,0,0,0,0,20,10,0,0,1,1,0.333,0,0,0,0,0,31,1,5,0,0,1,,
108,reulbed01,1910,WS,CHN,1910CHN,NL,0,0,1,1,0,0,0,6,3,3,0,2,0,0.429,13.5,0,0,0,0,10,0,3,1,0,0,,
109,richile01,1910,WS,CHN,1910CHN,NL,0,0,1,0,0,0,0,3,1,0,0,0,0,0.25,0,0,0,0,0,4,1,0,0,0,0,,
110,amesre01,1911,WS,NY1,1911NY1,NL,0,1,2,1,0,0,0,24,6,2,0,1,6,0.194,2.25,0,0,0,0,33,0,5,1,0,0,,
111,bendech01,1911,WS,PHA,1911PHA,AL,2,1,3,3,3,0,0,78,16,3,0,8,20,0.172,1.04,0,1,1,0,104,0,6,1,1,0,,
112,coombja01,1911,WS,PHA,1911PHA,AL,1,0,2,2,1,0,0,60,11,3,0,6,16,0.175,1.35,0,0,1,0,73,0,5,2,1,0,,
113,cranddo01,1911,WS,NY1,1911NY1,NL,1,0,2,0,0,0,0,12,2,0,0,0,2,0.143,0,0,1,0,0,14,2,0,0,0,0,,
114,marquru01,1911,WS,NY1,1911NY1,NL,0,1,3,2,0,0,0,35,9,2,2,1,8,0.209,1.54,0,2,0,0,45,1,6,1,0,0,,
115,mathech01,1911,WS,NY1,1911NY1,NL,1,2,3,3,2,0,0,81,25,6,1,2,13,0.25,2,1,0,0,0,107,0,8,4,1,0,,
116,planked01,1911,WS,PHA,1911PHA,AL,1,1,2,1,1,0,0,29,6,2,0,0,8,0.182,1.86,0,0,1,0,35,1,2,0,1,0,,
117,wiltsho01,1911,WS,NY1,1911NY1,NL,0,0,2,0,0,0,0,10,8,7,0,0,2,0.471,18.9,0,0,0,0,19,1,8,1,1,0,,
118,amesre01,1912,WS,NY1,1912NY1,NL,0,0,1,0,0,0,0,6,3,1,0,1,0,0.375,4.5,0,0,0,0,10,1,1,1,0,0,,
119,bediehu01,1912,WS,BOS,1912BOS,AL,1,0,4,2,1,0,0,54,10,1,0,7,7,0.169,0.5,0,0,2,0,69,2,2,1,0,1,,
120,collira01,1912,WS,BOS,1912BOS,AL,0,0,2,1,0,0,0,43,14,3,0,0,6,0.269,1.88,0,0,0,0,53,1,5,0,1,0,,
121,cranddo01,1912,WS,NY1,1912NY1,NL,0,0,1,0,0,0,0,6,1,0,0,0,2,0.167,0,0,0,0,0,7,1,0,1,0,0,,
122,hallch02,1912,WS,BOS,1912BOS,AL,0,0,2,0,0,0,0,32,11,4,1,9,1,0.268,3.38,2,0,0,0,51,1,6,0,1,0,,
123,marquru01,1912,WS,NY1,1912NY1,NL,2,0,2,2,2,0,0,54,14,1,0,2,9,0.212,0.5,0,0,0,0,69,0,3,1,0,1,,
124,mathech01,1912,WS,NY1,1912NY1,NL,0,2,3,3,3,0,0,86,23,3,0,5,10,0.213,0.94,1,0,0,0,115,0,11,1,1,0,,
125,obriebu01,1912,WS,BOS,1912BOS,AL,0,2,2,2,0,0,0,27,12,5,0,3,4,0.353,5,0,0,0,1,40,0,7,2,1,0,,
126,tesreje01,1912,WS,NY1,1912NY1,NL,1,2,3,3,1,0,0,69,19,8,1,11,15,0.224,3.13,0,3,1,0,100,0,10,2,1,1,,
127,woodjo02,1912,WS,BOS,1912BOS,AL,3,1,4,3,2,0,0,66,27,11,0,3,21,0.307,4.5,0,0,1,0,93,1,11,1,0,0,,
128,bendech01,1913,WS,PHA,1913PHA,AL,2,0,2,2,2,0,0,54,19,8,1,1,9,0.271,4,0,0,1,0,73,0,9,1,0,1,,
129,bushjo01,1913,WS,PHA,1913PHA,AL,1,0,1,1,1,0,0,27,5,1,0,4,3,0.172,1,0,0,1,0,34,0,2,0,0,1,,
130,cranddo01,1913,WS,NY1,1913NY1,NL,0,0,2,0,0,0,0,14,4,2,1,0,2,0.235,3.86,0,0,0,0,17,1,2,0,0,0,,
131,demaral01,1913,WS,NY1,1913NY1,NL,0,1,1,1,0,0,0,12,7,2,0,1,0,0.368,4.5,0,0,0,0,21,0,4,1,0,0,,
132,marquru01,1913,WS,NY1,1913NY1,NL,0,1,2,1,0,0,0,27,10,7,1,3,3,0.286,7,0,0,0,0,39,1,7,1,0,0,,
133,mathech01,1913,WS,NY1,1913NY1,NL,1,1,2,2,2,1,0,57,14,2,0,2,7,0.206,0.95,1,0,0,0,75,0,3,3,2,0,,
134,planked01,1913,WS,PHA,1913PHA,AL,1,1,2,2,2,0,0,57,9,2,0,3,7,0.138,0.95,0,0,1,0,70,0,4,1,0,2,,
135,tesreje01,1913,WS,NY1,1913NY1,NL,0,1,2,1,0,0,0,25,11,5,0,1,4,0.314,5.4,0,0,0,0,36,1,7,0,0,0,,
136,bendech01,1914,WS,PHA,1914PHA,AL,0,1,1,1,0,0,0,16,8,6,0,2,3,0.381,10.12,0,0,0,0,23,0,6,0,0,2,,
137,bushjo01,1914,WS,PHA,1914PHA,AL,0,1,1,1,1,0,0,33,9,4,1,4,4,0.225,3.27,1,0,0,0,46,0,5,1,1,0,,
138,jamesbi02,1914,WS,BSN,1914BSN,NL,2,0,2,1,1,1,0,33,2,0,0,6,9,0.065,0,1,0,0,0,37,1,0,0,0,1,,
139,pennohe01,1914,WS,PHA,1914PHA,AL,0,0,1,0,0,0,0,9,2,0,0,2,3,0.2,0,0,0,0,0,12,1,0,0,0,0,,
140,planked01,1914,WS,PHA,1914PHA,AL,0,1,1,1,1,0,0,27,7,1,0,4,6,0.212,1,0,0,1,0,39,0,1,1,0,0,,
141,rudoldi01,1914,WS,BSN,1914BSN,NL,2,0,2,2,2,0,0,54,12,1,0,4,15,0.197,0.5,0,1,0,0,66,0,2,1,0,0,,
